datetime,year,month,day_of_month,week_of_year,day_of_week,hour,is_weekend,is_holiday,Consumption (MWh)
2016-01-01 00:00:00,2016,1,1,53,4,0,0,1,26277.24
2016-01-01 01:00:00,2016,1,1,53,4,1,0,1,24991.82
2016-01-01 02:00:00,2016,1,1,53,4,2,0,1,23532.61
2016-01-01 03:00:00,2016,1,1,53,4,3,0,1,22464.78
2016-01-01 04:00:00,2016,1,1,53,4,4,0,1,22002.91
2016-01-01 05:00:00,2016,1,1,53,4,5,0,1,21957.08
2016-01-01 06:00:00,2016,1,1,53,4,6,0,1,22203.54
2016-01-01 07:00:00,2016,1,1,53,4,7,0,1,21844.16
2016-01-01 08:00:00,2016,1,1,53,4,8,0,1,23094.73
2016-01-01 09:00:00,2016,1,1,53,4,9,0,1,25202.27
2016-01-01 10:00:00,2016,1,1,53,4,10,0,1,27224.96
2016-01-01 11:00:00,2016,1,1,53,4,11,0,1,28908.04
2016-01-01 12:00:00,2016,1,1,53,4,12,0,1,28789.25
2016-01-01 13:00:00,2016,1,1,53,4,13,0,1,29367.7
2016-01-01 14:00:00,2016,1,1,53,4,14,0,1,29548.32
2016-01-01 15:00:00,2016,1,1,53,4,15,0,1,29390.89
2016-01-01 16:00:00,2016,1,1,53,4,16,0,1,30734.97
2016-01-01 17:00:00,2016,1,1,53,4,17,0,1,32048.02
2016-01-01 18:00:00,2016,1,1,53,4,18,0,1,31438.11
2016-01-01 19:00:00,2016,1,1,53,4,19,0,1,30728.47
2016-01-01 20:00:00,2016,1,1,53,4,20,0,1,30166.14
2016-01-01 21:00:00,2016,1,1,53,4,21,0,1,29461.28
2016-01-01 22:00:00,2016,1,1,53,4,22,0,1,29242.83
2016-01-01 23:00:00,2016,1,1,53,4,23,0,1,28069.09
2016-01-02 00:00:00,2016,1,2,53,5,0,1,0,26224.6
2016-01-02 01:00:00,2016,1,2,53,5,1,1,0,24708.58
2016-01-02 02:00:00,2016,1,2,53,5,2,1,0,23771.58
2016-01-02 03:00:00,2016,1,2,53,5,3,1,0,22921.29
2016-01-02 04:00:00,2016,1,2,53,5,4,1,0,22870.89
2016-01-02 05:00:00,2016,1,2,53,5,5,1,0,23325.63
2016-01-02 06:00:00,2016,1,2,53,5,6,1,0,23604.98
2016-01-02 07:00:00,2016,1,2,53,5,7,1,0,24022.7
2016-01-02 08:00:00,2016,1,2,53,5,8,1,0,26930.48
2016-01-02 09:00:00,2016,1,2,53,5,9,1,0,30043.6
2016-01-02 10:00:00,2016,1,2,53,5,10,1,0,32102.38
2016-01-02 11:00:00,2016,1,2,53,5,11,1,0,33431.89
2016-01-02 12:00:00,2016,1,2,53,5,12,1,0,32910.61
2016-01-02 13:00:00,2016,1,2,53,5,13,1,0,32887.61
2016-01-02 14:00:00,2016,1,2,53,5,14,1,0,32796.18
2016-01-02 15:00:00,2016,1,2,53,5,15,1,0,32594.55
2016-01-02 16:00:00,2016,1,2,53,5,16,1,0,33358.47
2016-01-02 17:00:00,2016,1,2,53,5,17,1,0,34387.95
2016-01-02 18:00:00,2016,1,2,53,5,18,1,0,33591.26
2016-01-02 19:00:00,2016,1,2,53,5,19,1,0,32648.83
2016-01-02 20:00:00,2016,1,2,53,5,20,1,0,31897.73
2016-01-02 21:00:00,2016,1,2,53,5,21,1,0,31049.2
2016-01-02 22:00:00,2016,1,2,53,5,22,1,0,30906.43
2016-01-02 23:00:00,2016,1,2,53,5,23,1,0,29621.09
2016-01-03 00:00:00,2016,1,3,53,6,0,1,0,27613.96
2016-01-03 01:00:00,2016,1,3,53,6,1,1,0,25779.28
2016-01-03 02:00:00,2016,1,3,53,6,2,1,0,24566.31
2016-01-03 03:00:00,2016,1,3,53,6,3,1,0,23878.42
2016-01-03 04:00:00,2016,1,3,53,6,4,1,0,23511.38
2016-01-03 05:00:00,2016,1,3,53,6,5,1,0,23672.32
2016-01-03 06:00:00,2016,1,3,53,6,6,1,0,23827.08
2016-01-03 07:00:00,2016,1,3,53,6,7,1,0,23405.11
2016-01-03 08:00:00,2016,1,3,53,6,8,1,0,24638.72
2016-01-03 09:00:00,2016,1,3,53,6,9,1,0,26802.38
2016-01-03 10:00:00,2016,1,3,53,6,10,1,0,28779.88
2016-01-03 11:00:00,2016,1,3,53,6,11,1,0,30204.3
2016-01-03 12:00:00,2016,1,3,53,6,12,1,0,30588.3
2016-01-03 13:00:00,2016,1,3,53,6,13,1,0,30902.63
2016-01-03 14:00:00,2016,1,3,53,6,14,1,0,31056.47
2016-01-03 15:00:00,2016,1,3,53,6,15,1,0,30979.53
